,lyrics,album,year,title
0,"[Intro]
I remember
I remember
I remember
I remember
Now I remember, my first love (I remember)
Of course the whole thing went wrong (I remember)
And my mama had some great advice (I remember)
So I thought I'd put it into words of this song
'Cause I can still hear her sayin' (I remember)

[Verse 1]
She said, ""Boy (Boy, boy)
Oh, I see you sitting out there all alone
Yeah, just cryin' your eyes out
Into the cold gray dawn
Now, there's gonna be
There's gonna be a whole lot of trouble in your life (Whole lot of trouble)
So listen to me, get up off of your knees
'Cause only the strong survive""
That's what she said

[Chorus]
Only the strong survive
Only the strong survive
Yeah, you've gotta be strong (Strong)
You've gotta hold on (Hold on)
Only the strong survive (Don't go)

[Verse 2]
Oh, don't go around with your head hanging down
I wouldn't let that girl know
She made you feel like a clown
Now, there's a whole lot of girls (Whole lot of girls)
Just lookin' for a good man like you
But you ain't ever gonna meet 'em
If you give up now and say your whole life is through

[Chorus]
'Cause only the strong survive
Only the strong survive
Oh, you've gotta be a man (Man)
You've gotta take a stand (Oh yeah)
'Cause only the strong survive

[Bridge]
I'm telling you right now
Only the strong survive
(Strong survive)

[Chorus]
Only the strong survive
Only the strong survive
Yeah, you've gotta hold on (Hold on)
You've gotta be strong (Strong)
'Cause only the strong survive
(Only the strong survive) And there's always gonna be a better day
You're gonna make it (Yeah)
But you've gotta take that stand (Stand)
'Cause only the strong survive
Only the strong survive
Yeah, you've gotta be strong
You've gotta hold on
'Cause only the strong survive
Oh, better times are coming",Only the Strong Survive,2022,Only the Strong Survive
1,"[Verse 1]
I woke up feeling the sunshine
Drift across my face
It took me back to emotions
From another time and place
Those yesterdays
Cruising in my Chevrolet
I held my baby in my arms
But my first love was always those songs

[Chorus]
I'm talkin' 'bout soul days
Talkin' about those sweet soul days

[Verse 2]
I crawled out of bed real slowly
Threw on some old blue jeans
I found my favorite T-shirt
And started rollin' up my sleeves
Like James Dean
Thinkin' I was still nineteen
I walked outside and looked around
My heart was pumping when I found

[Chorus]
It's gonna be a soul day
I laid back sunning
Sweet summer soul days
[Bridge]
I think I'll take my baby for a ride
Down to the back road
Out in the country
Where the summer winds blow
Over by the river
There's a barbecue shack
Otis on the jukebox
You know I like it like that, yeah

[Chorus]
Soul days
Dancin' with my baby
Swayin' to the sweet soul days

[Verse 3]
And when the sun goes down
And we're on the road again
Those white lines runnin' down the highway
Slowly reelin' us in
With the radio on
Swinging to the sweet soul songs
And the music's playin' through the night
Takin' us back to when everything was alright

[Chorus]
Soul days
Talkin' about those sweet summer soul days
I'm talkin' 'bout soul days
I'm going back to the sweet summer soul days
[Outro: Bruce Springsteen & ]
Soul days

I wanna hear some Wilson Pickett
And some Joe Tex
I wanna hear some Sam & Dave
Oh, listen here
Hey, Sam, I wanna hear some Aretha
I wanna hear some Ray Charles
And some soulful Sam Cooke now

I wanna hear some Arthur Conley
Edwin Starr?
Hell yeah
Come on, sing it with me, Sam",Only the Strong Survive,2022,Soul Days (feat. Sam Moore)
2,"[Verse 1]
Marvin, he was a friend of mine
And he could sing his song, his heart in every line
Marvin sang of the joy and pain
He opened up our minds, I still can hear him say
""Oh, talk to me, so you can see what's going on""
Say you will sing your songs forevermore

[Chorus]
Gonna be some sweet sounds coming down on the nightshift
I bet you're singing proud, oh, I bet you'll pull a crowd
Gonna be a long night, it's gonna be all right on the nightshift (On the nightshift)
You found another home, I know you're not alone on the nightshift

[Verse 2]
Jackie, hey, what you doing now?
It seems like yesterday when we were working out
Jackie, you sеt the world on fire
You came and giftеd us, your love, it lifted us higher and higher
Keep it up and we'll be there at your side
Oh, say you will sing your songs forevermore

[Chorus]
Gonna be some sweet sounds coming down on the nightshift (On the nightshift)
I bet you're singing proud, oh, I bet you'll pull a crowd
It's gonna be a long night, it's gonna be all right on the nightshift (On the nightshift)
You found another home, I know you're not alone on the nightshift
[Bridge]
Gonna miss your sweet voice (Sweet voice)
That soulful noise on the nightshift
We all remember you
Your song is coming through

[Chorus]
Gonna be a long night, it's gonna be all right on the nightshift (On the nightshift)
You found another home, I know you're not alone on the nightshift
You found another home, I know you're not alone on the nightshift

[Outro]
(On the nightshift)
(On the nightshift)",Only the Strong Survive,2022,Nightshift
3,"[Verse 1]
Here I am on bended knees
I lay my heart down at your feet
Do I love you?
All you have to do is ask
I'll give until there's nothing left
Do I love you?
As long as there is life in me
Your happiness is guaranteed
I'll fill your heart with ecstasy, darling

[Chorus]
Do I love you?
Tell me now
Do I love you?
Do I love you?
Indeed, I do
Oh, darling, indeed I do

[Verse 2]
The very thing that I want most
Is just to have and hold you close
Now do I love you?
From early morning until late at night
You fill my heart with pure delight
Do I love you?
Whenever I lay me down to sleep
I pray the Lord your soul to keep
And bring it on home safe to me, darling
[Chorus]
Do I love you?
Come on, darling
Do I love you?
Do I love you?
Indeed, I do
Sweet darling, indeed I do

[Bridge]
Now whenever I lay me down to sleep
I pray the Lord your soul to keep
And bring you on home safe to me, darling

[Chorus]
Do I love you?
Tell me now
Do I love you?
Oh, darling
Do I love you?
Indeed, I do
Sweet darling, indeed I do
Oh, baby, indeed I do (Indeed I do)
Come on baby (Indeed I do)
Indeed I do
Oh, darling (Indeed I do)",Only the Strong Survive,2022,Do I Love You (Indeed I Do)
4,"[Verse 1]
Loneliness is the cloak you wear
A deep shade of blue
Is always there

[Chorus]
The sun ain't gonna shine anymore
The moon ain't gonna rise in the sky
The tears are always clouding your eyes
When you're without love
Baby

[Verse 2]
Emptiness is the place you're in
There's nothing to lose
But no more to win

[Chorus]
Oh, the sun ain't gonna shine anymore
The moon ain't gonna rise in the sky
The tears are always clouding your eyes
When you'rе without love

[Bridge]
Lonely without you, baby
Girl, I need you
I can't go on
[Chorus]
The sun ain't gonna shinе anymore
The moon ain't gonna rise in the sky
The tears are always clouding your eyes
When you're without love
Baby, yeah, yeah
Oh, the sun ain't gonna shine anymore
The moon ain't gonna rise in the sky
The tears are always clouding your eyes
When you're without love
Baby
When you're without love
Baby
When you're without love

[Outro]
(The sun ain't gonna shine anymore)
The sun ain't gonna shine anymore
(The sun ain't gonna shine anymore)
Oh, the sun ain't gonna shine anymore
(The sun ain't gonna shine anymore)
Oh, the sun ain't gonna shine anymore",Only the Strong Survive,2022,The Sun Ain't Gonna Shine Anymore
5,"[Verse 1]
Oh, darlin', I'm so lonely without you
I can't sleep at night
Just thinkin' about you
But if I had the chance to start all over
I'd be wishing today on a four leaf clover
And leaving would be the last thing on my mind

[Chorus]
If I could turn back the hands of time (If I could turn back the hands of time)
If I could turn back the hands of time (If I could turn back the hands of time)

[Verse 2]
Oh, darlin', I can't hold out much longer
But the pain is so deep
And the hurt's getting stronger
But if I had just one more try
I'd be yours alone, until the day that I die
And we'd have a love so divine

[Chorus]
If I could turn back the hands of time (If I could turn back the hands of time)
If I could turn back the hands of time (If I could turn back the hands of time)

[Bridge]
All right, come on

[Verse 3]
Oh, darlin', plеase
Please lеt me come back home
Your love's been so good to me, baby
And I've realized without it, I can't go on
Because you're the other half that makes my life complete
If I had one more chance we'd have a love so sweet
And leaving would be the last thing on my mind
Leaving would be the last thing on my mind
I said leaving would be the last thing on my mind

[Chorus]
If I could turn back the hands of time (If I could turn back the hands of time)
(If I could turn back the hands of time)
If I could turn back the hands of time (If I could turn back the hands of time)

[Outro]
(If I could turn back the hands of time) If I could just have another chance, darling
(If I could turn back the hands of time)
Just give me one more chance (If I could turn back the hands of time)
I wanna turn back the hands of time (If I could turn back the hands of time)
(If I could turn back the hands of time) I'm gonna turn back the hands of time
(If I could turn—)",Only the Strong Survive,2022,Turn Back the Hands of Time
6,"[Verse 1]
Well, she used to be
Everything to me
When she was my girl
When she was my girl

[Verse 2]
Oh, I held her near
And I told her how much I cared
When she was my girl
When she was my girl

[Chorus]
When she was my girl
There was laughter and loving in my world every day
When she was my girl
Oh, what joy she would bring, now I've lost everything
She's gone
Gone, gone, gone, gone

[Verse 3]
I spend the night
Dreaming how she used to be
When she was my girl
When she was my girl
[Instrumental Break]

[Chorus]
When she was my girl
There was laughter and loving in my world, yes, it was
'Cause she was my girl
Oh, what joy she would bring, now I've lost everything
She's gone
The big legged girl is gone

[Verse 4]
She used to be
Everything to me
When she was my girl
My girl

[Refrain]
Oh, when she was my girl
When she was my girl

[Outro]
Oh, I'd walk down the street, and I'd tell everyone we'd meet
This is my girl
This girl, she was mine, come rain or shine
She's my girl
And we're so good together",Only the Strong Survive,2022,When She Was My Girl
7,"[Chorus]
Western Union man
Send a telegram to my baby
Send a telegram, send a telegram, woah
Send a telegram to my baby

[Post-Chorus]
This is what I want you to say

[Verse 1]
I want you to tell her that I'm all alone
I tried to call her on the phone
Tell her I'm in misery
And I think she's avoiding me
And if the telegram don't do
A-send a box of candy, too
Maybe some flowers
Tell her that I missed her for hours and hours

[Pre-Chorus]
Send a telegram, send a telegram, hey
Send a telegram, man, to my baby
Do you hear what I say?

[Chorus]
Western Union man
Send a telegram, oh
Send a telegram to my baby
Western Union man
Send a telegram, oh
Send a telegram, send a telegram, come on
Send a telegram, man, a-to my baby
[Post-Chorus]
This is what I want you to do

[Verse 2]
Have you got a man you can send
Well, this is what I want him to do
A-get him over there right away
And see if he can get my message through
No, not, not maybe tomorrow
You've got to mail it right away
I want the girl to know that I missed her
Yes, something like yesterday

[Pre-Chorus]
Send a telegram, send a telegram, come on
Send a telegram, man, to my baby
A-do you hear now what I say?

[Chorus]
Western Union man
Send a telegram
Oh, send a telegram to my baby
Western Union man
Send a telegram
Oh, send a telegram, send a telegram, send it
Send a telegram, send a telegram to my baby
Do you hear what now I say? Come on
[Post-Chorus]
Western Union

[Chorus]
Western Union man
Send a telegram, oh
Send a telegram to my baby
Western Union man
Send a telegram, oh
Send a telegram, come on now
Won't you send that telegram right to my baby?

[Outro]
Tell her that I'm all alone
Tell her that I'm waiting by the phone
Western Union
Send that telegram right to my baby
Western Union man
Tell her that I need her
And I'm doing all I can
Tell her to come on home
Send a telegram, come on
Send that telegram to my baby
Woo-hoo
Western Union man
Oh, send that telegram",Only the Strong Survive,2022,"Hey, Western Union Man"
8,"[Verse 1]
Sunshine, blue skies, please go away
My girl has found another and gone astray
And with her went my future, my life is filled with gloom
So day after day I stay locked up in my room
I know to you, it might sound strange

[Refrain]
But I wish it would rain
Oh yeah

[Verse 2]
It hurt so badly, I wanna go outside (Such a lovely day)
But everyone knows that a man ain't supposed to cry
But listen, I've got to cry because crying eases the pain
People, this hurt I feel inside, words that can never explain

[Refrain]
I just wish it would rain
Oh, let it rain, let it rain
Please, let it rain, let it rain, let it rain, let it rain, let it rain, oh, let it rain

[Verse 3]
Day in, day out my tear-stained face
Pressed against the windowpane
My eyes, they search the skies desperately for rain
'Cause raindrops will hide my teardrops
And no one will ever know that I'm crying
I'm crying, yeah, when I go outside
To the world outside my tears, I refuse to explain
[Refrain]
Oh, I wish it would rain
Ooh, baby, let it rain, let it rain, let it rain, let it rain, let it rain

I need rain to disguise the tears in my eyes
Oh, let it rain

[Outro]
I'm a man and I got my pride
'Til it rains I'm gonna stay inside
Let it rain
No, let it rain
No, let it rain
Mm, let it rain
Oh, let it rain
Ooh-hoo",Only the Strong Survive,2022,I Wish It Would Rain
9,"[Intro]
Yeah, come on, let's get the band goin'

[Verse 1]
Don't play that song for me
Though it brings back sweet memories
Of the days that I once knew
Of the days I spent with you
Oh no, don't you let it play
It fills my heart with pain
Please stop it right away
'Cause I remember just a-what it said

[Chorus]
Well, it said
Oh, you know that you lied
Oh, you know that you lied
Darling, you know that you lied, you lied
You lied, lied, lied

[Verse 2]
Remember on our first date
You kissed me, then you walked away
You were only seventeen
I never thought you'd act so mean
But you told me that you loved me
And you told me you cared
You said you'd go with me, darling
Oh, anytime, anywhere
[Chorus]
But, darling, you lied
Oh, darling, you lied
Yeah, darling, you lied
Oh, you know that you lied
You lied, lied, lied, lied, woo

[Interlude]
I remember those summer nights down by the shore
As the band played, with you in my arms
And we moved across that floor
Then, darling, you went away
Well, all I've got to say is
I don't care if you lied
Let's dance

[Chorus]
But, darling, you lied
Oh, darling, you lied
Yeah, darling, you lied
Oh, darling you lied, you lied
You lied, lied, lied, lied
Oh, darling, you lied
Oh, darling, you lied
Oh, darling you lied, you lied
You lied, lied, lied, lied
You know that you lied
Yeah, darling, you lied
Oh, darling you lied, you lied
You lied, lied, lied, lied
[Outro]",Only the Strong Survive,2022,Don't Play That Song
10,"[Verse 1]
Here you come again
You say that you're my friend
But I know why you're here right now
She wants to know how I've been
Well, you can tell her that I'm happy
Tell her that I'm doing great
Tell her I wouldn't have it, no, no, no, no
Any other way

[Verse 2]
People have been talking
Since we been apart
When I pass, I hear them whisper
""There he goes with a broken heart""
Now when she asks about me
This is what I want you to say
Tell her I wouldn't have it, no, no, no, no
Any other way

[Verse 3]
That's all I havе to say, my friend
Now I think we bettеr say goodbye
I think that you should go right now
Or you might see a grown man cry
But when you see my baby
This is what I want you to say
Tell her (Tell her) I wouldn't have it, no, no, no, no, no
Any other way
[Refrain]
No, no, no
Tell her (Tell her) I wouldn't have it, no no, no, no
Any other way

[Outro]
Any other way, darling
I wouldn't have it any other way
Not in any other way, babe
No, no, no, no, no, no
I wouldn't have it any other way
No, no, no, no, no, no
Not any other way, babe",Only the Strong Survive,2022,Any Other Way
11,"[Verse 1]
Have I told you lately that I love you?
Well, if I didn't, darlin’, I'm sorry
Did I reach out and hold you in my loving arms
Oh, when you needed me?
Now I realize that you need love too
And I'll spend my life making love to you

[Refrain]
Oh, I forgot to be your lover
And I’m sorry, so sorry

[Verse 2]
Have I taken the time to share with you
All the burdens that love will fare?
And have I done the little selfless things to show you
Just how much I care?
Oh, I've been workin' for you, doin' all I can
But working all day don't make you a man

[Refrain]
Oh, I forgot to be your lover
And I'm sorry, but I'll make it up to you somehow

[Outro]
I forgot to be your lover (I forgot to be your lover)
I forgot to be your lover",Only the Strong Survive,2022,I Forgot To Be Your Lover (feat. Sam Moore)
12,"[Chorus]
(Seven rooms) I see a house
A house of stone
(Filled with gloom) A lonely house
'Cause now you're gone
(Just seven rooms of gloom) Seven rooms, that's all it is
Seven rooms of gloom
(Filled with emptiness) I live with emptiness
(Without your tenderness) Without your tenderness

[Verse 1]
You took the dream I had for us
And turned that dream into dust
I watch a phone that never rings
I watch a door that never rings
I need you back into my life
To turn this darkness into light
I'm all alone in this house
Turn this housе to a home

[Pre-Chorus]
I need your touch to comfort me
Your tendеr, tender arms that once held me

[Chorus]
(Seven rooms) Without your love
Your love inside
(Filled with gloom) This house is just a place
To hide
(Just seven rooms of gloom) Seven rooms, that's all it is
Seven rooms of gloom
(Filled with emptiness) Rooms of emptiness
(Without your tenderness) Without your tenderness

[Verse 2]
Don't make me live from day to day
Watching a clock that ticks away
Another day, another way
Another reason for me to say
I need you here, here with me
I need you, darling, desperately
I'm all alone, all alone
In this house that's not a home

[Pre-Chorus]
I miss your love I once had known
I miss your kiss that was my very, very own

[Chorus]
(Seven rooms) Empty silence
Surrounds me
(Filled with gloom) These lonely walls
They stare at me
(Just seven rooms of gloom) Seven rooms, that's all it is
Seven rooms of gloom
(Filled with emptiness) I live with emptiness
(Without your tenderness) Without your tenderness

[Post-Chorus]
All the windows are painted black
I'll wait right here 'til you get back
I'll keep waiting and waiting
'Til your face again I see
[Outro]
When are you coming back?
When are you coming back?
Oh, when are you coming back?
Tell me, when are you coming back?",Only the Strong Survive,2022,7 Rooms Of Gloom
13,"[Verse 1]
As I walk this land of broken dreams
I have visions of many things
But happiness is just an illusion
Filled with 

[Chorus]
What becomes of the brokenhearted
Who had love that's now departed?
I know I've got to find some kind of peace of mind
Baby

[Verse 2]
The roots of love grow all around
But for me, they come a-tumblin' down
Every day heartaches grow stronger
I can't stand this pain 
I walk in shadows searching for light
Cold and alone, no comfort in sight
Hoping and praying for someone to care
Always moving and 

[Chorus]
What becomes of the brokenhearted
Who had love that's now departed?
I know I've got to find some kind of peace of mind
Help me

[Verse 3]
I'm searching, though I don't succeed
For someone's love, there's a growing need
All is lost, there's no place for beginning
All that's left is an 

[Chorus]
What becomes of the brokenhearted
Who had love that's now departed?
I know I've got to find some kind of peace of mind
I'll be searching everywhere just to find someone who cares

[Post-Chorus]
I'll be looking every day
I know I'm gonna find a way
Nothing's gonna stop me now
I'll find a way somehow

[Outro]
I'll be searching everywhere
Until I find someone who cares
I know I'll find my way
I'm gonna find my way
I'm gonna find my way
I'm gonna find my way
I'm gonna find my way
I'm gonna find my way",Only the Strong Survive,2022,What Becomes of the Brokenhearted
14,"[Verse 1]
Your voice comes calling through the mist
I awake from a dream and my heart begins to drift
Tonight we're on our own
Tonight we're all alone
Oh oh, tonight

[Chorus]
Someday we'll be together
And the night will fall around us
This love will last forever
Someday we'll be together
Together

[Verse 2]
I can't sleep so I lie awake, listen to the sounds of the city below
I get dressed and walk the streets but I got nowhere to go
Tonight it's you I miss
Tonight my only wish is
Oh oh, tonight

[Chorus]
Someday we'll be together
And the night will fall around us
This love will last forever
Someday you'll be mine

[Verse 3]
Tonight we're on our own
Tonight we're all alone
Oh oh, tonight

[Chorus]
Someday we'll be together
And the night will fall around us
This love will last forever
Someday you'll be mine

[Outro]
Woah
Someday you'll be mine
Woah (This love will last forever)
Someday you'll be mine
(Someday we'll be together)
(Night will fall around us)
(This love will last forever)
(Someday you'll be mine)
(Someday we'll be together)",Only the Strong Survive,2022,Someday We'll Be Together
