page,link,author,source,title,date,category,subcategory
0101,https://github.com/lilbud/btx-article-dump/articles/album_review/born_to_run/1975-10-09_greil-marcus_rolling-stone_[0101].md,Greil Marcus,Rolling Stone,Born To Run Review,1975-10-09,Album Review,Born To Run
0102,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/1978-07-27_dave-marsh_rolling-stone_[0102].md,Dave Marsh,Rolling Stone,Darkness On The Edge Of Town: The Boss' Triumphant Return,1978-07-27,Album Review,Darkness On The Edge Of Town
0103,https://github.com/lilbud/btx-article-dump/articles/interview/1978-10-14_bruce_the_myth_just_keeps_on_coming_[0103].md,Tony Parsons,New Musical Express,Bruce: The myth just keeps on coming,1978-10-14,Interview,
0104,https://github.com/lilbud/btx-article-dump/articles/interview/1975-10-27_the_making_of_a_rock_star_[0104].md,Janet Huck; Peter S. Greenberg,Newsweek,The Making of a Rock Star,1975-10-27,Interview,
0105,https://github.com/lilbud/btx-article-dump/articles/interview/1975-10-27_rock_s_new_sensation_the_backstreets_of_[0105].md,Jay Cocks,Time,Rock's New Sensation: The Backstreets Phantom of Rock,1975-10-27,Interview,
0106,https://github.com/lilbud/btx-article-dump/articles/interview/1978-08-24_bruce_springsteen_raises_cain_[0106].md,Dave Marsh,Rolling Stone,Bruce Springsteen Raises Cain,1978-08-24,Interview,
0107,https://github.com/lilbud/btx-article-dump/articles/interview/1981-02-05_bruce_springsteen_and_the_secret_of_the_[0107].md,Fred Schruers,Rolling Stone,Bruce Springsteen and the Secret of the World,1981-02-05,Interview,
0108,https://github.com/lilbud/btx-article-dump/articles/interview/2012-07-20_we_are_alive_[0108].md,David Remnick,The New Yorker,We Are Alive,2012-07-20,Interview,
0109,https://github.com/lilbud/btx-article-dump/articles/interview/1981-01-01_bruce_springsteen_takes_it_to_the_river_[0109].md,Dave DiMartino,Creem,"Bruce Springsteen Takes It To the River: So Don't Call Him Boss, OK?",1981-01-01,Interview,
0110,https://github.com/lilbud/btx-article-dump/articles/interview/1996-04-02_the_advocate_interview_[0110].md,Judy Wieder,The Advocate,The Advocate Interview,1996-04-02,Interview,
0111,https://github.com/lilbud/btx-article-dump/articles/concert_review/1974-05-22_growing_young_with_rock_and_roll_[0111].md,Jon Landau,The Real Paper,Growing Young with Rock and Roll,1974-05-22,Concert Review,
0112,https://github.com/lilbud/btx-article-dump/articles/interview/2002-07-14_his_kind_of_heroes_his_kind_of_songs_[0112].md,Jon Pareles,The New York Times,"His Kind of Heroes, His Kind of Songs",2002-07-14,Interview,
0113,https://github.com/lilbud/btx-article-dump/articles/interview/1992-08-01_springsteen_the_q_interview_[0113].md,David Hepworth,The Q,Springsteen - The Q Interview,1992-08-01,Interview,
0201,https://github.com/lilbud/btx-article-dump/articles/commentary/1988-12-01_the_sanctification_of_bruce_springsteen_[0201].md,John Lombardi,Esquire Magazine,The Sanctification of Bruce Springsteen and the Rise of Mass Hip,1988-12-01,Commentary,
0202,https://github.com/lilbud/btx-article-dump/articles/interview/1978-09-23_return_of_the_native_[0202].md,Mike Greenblatt,The Aquarian,Return of the Native,1978-09-23,Interview,
0203,https://github.com/lilbud/btx-article-dump/articles/interview/1976-03-01_the_ascension_of_bruce_springsteen_from_[0203].md,James R. Petersen,Playboy,The Ascension of Bruce Springsteen from zero to sixty in five weeks flat with rock's newest superstar,1976-03-01,Interview,
0204,https://github.com/lilbud/btx-article-dump/articles/commentary/1980-10-01_a_self_made_man_bruce_s_creative_juices_[0204].md,Wayne King,Trouser Press,A Self Made Man: Bruce's creative juices; the evolution of a myth,1980-10-01,Commentary,
0205,https://github.com/lilbud/btx-article-dump/articles/interview/2005-07-17_still_the_boss_bruce_springsteen_[0205].md,Nick Hornby,Observer Music Monthly,Still the Boss: Bruce Springsteen,2005-07-17,Interview,
0207,https://github.com/lilbud/btx-article-dump/articles/album_review/ht_lt/1992-03-28_chris-dafoe_globe-mail_[0207].md,Chris Dafoe,Globe & Mail,Has The Boss Lost His Touch? Human Touch/Lucky Town Review,1992-03-28,Album Review,HT_LT
0208,https://github.com/lilbud/btx-article-dump/articles/interview/1996-01-01_working_class_hero_bruce_springsteen_the_[0208].md,Gary Graff,Guitar World,Working Class Hero: Bruce Springsteen hits the road in search of The Ghost of Tom Joad,1996-01-01,Interview,
0209,https://github.com/lilbud/btx-article-dump/articles/commentary/2007-05-15_why_the_coolest_bands_in_pop_are_bowing_[0209].md,Shane Danielsen,The Independent,Why the coolest bands in pop are bowing down before Bruce Springsteen,2007-05-15,Commentary,
0210,https://github.com/lilbud/btx-article-dump/articles/album_review/born_to_run/1975-08-25_robert-christgau_the-village-voice_[0210].md,Robert Christgau,The Village Voice,Born to Run Review,1975-08-25,Album Review,Born To Run
0211,https://github.com/lilbud/btx-article-dump/articles/album_review/born_to_run/2006-02-01_robert-christgau_blender_[0211].md,Robert Christgau,Blender,Born to Run (30th Anniversary Edition) Review,2006-02-01,Album Review,Born to Run
0212,https://github.com/lilbud/btx-article-dump/articles/album_review/darkness_on_the_edge_of_town/2012-07-17_robert-christgau_[0212].md,Robert Christgau,Robert Christgau,Darkness on the Edge of Town Review,2012-07-17,Album Review,Darkness On The Edge Of Town
0301,https://github.com/lilbud/btx-article-dump/articles/interview/2002-08-07_the_boss_and_me_[0301].md,Sarfraz Manzoor,The Guardian,The Boss and Me,2002-08-07,Interview,
0304,https://github.com/lilbud/btx-article-dump/articles/interview/1992-06-13_landau_s_creative_touch_with_springsteen_[0304].md,Thom Duffy,Billboard,Landau's Creative Touch with Springsteen,1992-06-13,Interview,
0305,https://github.com/lilbud/btx-article-dump/articles/interview/2002-09-09_trouble_in_australia_rising_from_the_[0305].md,Sean Sennett,The Sydney Morning Herald,Trouble In Australia: Rising from the ruins,2002-09-09,Interview,
0306,https://github.com/lilbud/btx-article-dump/articles/concert_review/2003-03-24_bruce_springsteen_and_the_e_street_band_[0306].md,Bernard Zuel,The Sydney Morning Herald,Bruce Springsteen and the E Street Band,2003-03-24,Concert Review,
0307,https://github.com/lilbud/btx-article-dump/articles/news/1985-05-11_bruce_springsteen_picks_actress_as_mrs_[0307].md,Robert Hilburn,The Los Angeles Times,Bruce Springsteen Picks Actress As 'Mrs. Boss',1985-05-11,News,
0308,https://github.com/lilbud/btx-article-dump/articles/commentary/2000-04-01_whitman_springsteen_and_the_american_[0308].md,Greg Smith,The Midwest Quarterly,"Whitman, Springsteen, and the American working class",2000-04-01,Commentary,
0309,https://github.com/lilbud/btx-article-dump/articles/interview/1996-01-28_reborn_in_the_u_s_a_[0309].md,Robert Hilburn,The Los Angeles Times,Reborn In The U.S.A,1996-01-28,Interview,
0310,https://github.com/lilbud/btx-article-dump/articles/interview/1981-02-01_musician_magazine_interview_[0310].md,Dave Marsh,Musician,Musician Magazine Interview,1981-02-01,Interview,
0311,https://github.com/lilbud/btx-article-dump/articles/essay/2012-07-28_darkness_on_the_edge_of_town_bruce_s_of_[0311].md,Michael McGuire,LightintheDarkness,Darkness on the Edge of Town: Bruce Springsteen's Rhetoric of Optimism and Despair,2012-07-28,Essay,
0312,https://github.com/lilbud/btx-article-dump/articles/interview/1992-08-01_born_again_[0312].md,Mans Ivarsson,Beats Magazine,Born Again,1992-08-01,Interview,
0401,https://github.com/lilbud/btx-article-dump/articles/speech/2012-03-15_bruce_springsteen_s_sxsw_keynote_address_[0401].md,Bruce Springsteen,PBS,Bruce Springsteen's SXSW Keynote Address,2012-03-15,Speech,
0402,https://github.com/lilbud/btx-article-dump/articles/speech/1999-03-15_rock_n_roll_hall_of_fame_1999_the_annual_[0402].md,Bono; Bruce Springsteen,Rock Hall,"Rock 'N' Roll Hall Of Fame 1999 The Fourteenth Annual Induction Dinner at the Waldorf Astoria Hotel, New York City",1999-03-15,Speech,
0403,https://github.com/lilbud/btx-article-dump/articles/interview/2001-04-01_under_the_boss_skin_[0403].md,Robert Hilburn,Los Angeles Times,Under the Boss' Skin,2001-04-01,Interview,
0404,https://github.com/lilbud/btx-article-dump/articles/interview/2004-09-22_we_ve_been_misled_[0404].md,Jann S. Wenner,Rolling Stone,We've Been Misled,2004-09-22,Interview,
0405,https://github.com/lilbud/btx-article-dump/articles/essay/1988-02-06_the_catholic_imagination_of_bruce_[0405].md,Andrew M. Greeley,America Magazine,The Catholic Imagination of Bruce Springsteen,1988-02-06,Essay,
0406,https://github.com/lilbud/btx-article-dump/articles/commentary/2012-03-06_bruce_springsteen_the_stations_of_the_s_[0406].md,Andy Whitman,Christian Music Today,"Bruce Springsteen: The Stations of the Boss - The singer, the sinner's prayer, and my spiritual journey.",2012-03-06,Commentary,
0407,https://github.com/lilbud/btx-article-dump/articles/essay/2012-06-01_the_music_and_history_of_our_times_9_11_[0407].md,Craig Werner,History Now: The Journal,The Music and History of Our Times: 9/11 and Springsteen,2012-06-01,Essay,
0408,https://github.com/lilbud/btx-article-dump/articles/album_review/the_promise/2022-08-26_joe-posanski_joeblogs_[0408].md,Joe Posanski,JoeBlogs,The Promise Album Review,2022-08-26,Album Review,The Promise
0409,https://github.com/lilbud/btx-article-dump/articles/essay/2001-07-29_save_me_somebody_bruce_springsteen_s_n_[0409].md,Cornel Bonca,Killing the Bhudda,Save Me Somebody: Bruce Springsteen's Rock 'n' Roll Covenant,2001-07-29,Essay,
0410,https://github.com/lilbud/btx-article-dump/articles/commentary/2012-04-30_bruce_springsteen_s_political_voice_[0410].md,Eric Altman,The Nation,Bruce Springsteen's Political Voice,2012-04-30,Commentary,
0501,https://github.com/lilbud/btx-article-dump/articles/essay/2001-06-10_american_legend_[0501].md,Marcus Lauglio,GreasyLake,American Legend,2001-06-10,Essay,
0502,https://github.com/lilbud/btx-article-dump/articles/essay/2005-09-09_healing_a_nation_deconstructing_bruce_s_[0502].md,Brad Yates,University of West Georgia,Healing a nation: Deconstructing Bruce Springsteen's The Rising,2005-09-09,Essay,
0503,https://github.com/lilbud/btx-article-dump/articles/commentary/2008-06-22_bruce_almighty_[0503].md,Elizabeth Wurtzel,The Guardian,Bruce Almighty,2008-06-22,Commentary,
0504,https://github.com/lilbud/btx-article-dump/articles/interview/2009-01-21_the_band_on_bruce_their_springsteen_a_at_[0504].md,David Fricke,Rolling Stone,"The Band on Bruce: Their Springsteen - A candid look at the legend from his ""greatest friends"" - the E Street Band.",2009-01-21,Interview,
0505,https://github.com/lilbud/btx-article-dump/articles/interview/2012-08-01_jersey_boys_[0505].md,Jeffery Goldberg,Atlantic Magazine,Jersey Boys,2012-08-01,Interview,
